RxnIndex,RxnID
Rxn1,10FTHFtx
Rxn3,1ACPCth
Rxn5,1ACPCtm
Rxn20,23DHMBth
Rxn22,23DHMBtm
Rxn24,23DHMPth
Rxn28,2DHPtm
Rxn30,2DHPtn
Rxn38,2PGLYCth
Rxn40,2PGLYCtx
Rxn42,2PGth
Rxn44,2PGtm
Rxn48,34HPPt2m
Rxn50,3C3HMPth
Rxn74,3MOBth
Rxn76,3MOPtm
Rxn190,3PG_pi_thr
Rxn192,3PGtx
Rxn197,44MZYMOR
Rxn199,4ABUTth
Rxn202,4ABUTtm
Rxn205,4HPROtg
Rxn207,4MOPtm
Rxn211,4MZYMR
Rxn213,5FLURAt
Rxn215,5FTHFt
Rxn217,5FTHFtm
Rxn219,5MTAth
Rxn221,5MTAtm
Rxn223,6MPURt
Rxn225,6PGLthr
Rxn265,ABAT
Rxn275,ACACT1
Rxn297,ACACtm
Rxn299,ACACtx
Rxn303,ACALDtx
Rxn305,ACAROtu
Rxn308,ACCAHh
Rxn310,ACCAHm
Rxn334,ACCOAth
Rxn336,ACCOAtm
Rxn338,ACCOAts
Rxn340,ACCOAtx
Rxn623,ACONT
Rxn627,ACONTx
Rxn647,ACPS1
Rxn649,ACPS1h
Rxn651,ACPS1m
Rxn683,ACt
Rxn685,ACth
Rxn687,ACtm
Rxn689,ACts
Rxn701,ADEt
Rxn706,ADNtm
Rxn719,ADtr
Rxn765,AHCYStg
Rxn767,AHCYStn
Rxn773,AIRth
Rxn775,AKGCITtm
Rxn782,AKGICITtm
Rxn784,AKGMALth
Rxn786,AKG_na_th
Rxn788,AKG_na_tm
Rxn794,ALABth
Rxn796,ALABtm
Rxn798,ALANA1tm
Rxn800,ALANA1tx
Rxn805,ALAtm
Rxn807,ALAtx
Rxn809,ALCD19
Rxn811,ALCD19y
Rxn820,ALLTNt
Rxn822,ALLTNtm
Rxn824,ALLTTt
Rxn826,ALLTTtm
Rxn832,AMAOTr
Rxn834,AMETAMth
Rxn836,AMETAMtm
Rxn838,AMETt2h
Rxn840,AMETt2m
Rxn842,AMETtg
Rxn844,AMETth
Rxn846,AMETtn
Rxn853,AMPth
Rxn855,AMPtn
Rxn860,ANNAT
Rxn861,ANNATn
Rxn863,ANNA
Rxn866,ANNAn
Rxn869,ANXANASCOR
Rxn895,APPAT
Rxn914,APStn
Rxn921,ARGSL
Rxn927,ARG_Lt
Rxn929,ARG_Ltm
Rxn961,ASAPT
Rxn963,ASCBNA1t
Rxn969,ASCBOR4
Rxn971,ASCBth
Rxn973,ASCBtm
Rxn975,ASCBtu
Rxn977,ASNNA1tm
Rxn982,ASNtm
Rxn984,ASNtx
Rxn1009,ASPNA1th
Rxn1011,ASPNA1tm
Rxn1016,ASPSAth
Rxn1026,ASPth
Rxn1028,ASPtm
Rxn1030,ASPtx
Rxn1040,ATAH
Rxn1128,BAOAT
Rxn1130,BCACT
Rxn1138,BCAROKT
Rxn1148,BCTA
Rxn1150,BCTA_glu
Rxn1152,BCTA_glu_h
Rxn1160,BCTAh
Rxn1172,BTNth
Rxn1174,BTNtm
Rxn1179,CADMO
Rxn1181,CADS
Rxn1190,CAROtu
Rxn1214,CHLADMT
Rxn1216,CHLAE
Rxn1218,CHLAtu
Rxn1222,CHLDADMT
Rxn1224,CHLDAO
Rxn1226,CHLDBtu
Rxn1231,CITALt
Rxn1233,CITICITtm
Rxn1235,CITRLtm
Rxn1237,CITx
Rxn1242,CMPth
Rxn1246,CMTEPtm
Rxn1248,CO2t
Rxn1251,CO2tm
Rxn1253,CO2tx
Rxn1256,COA_h_tx
Rxn1258,COAth
Rxn1260,COAtm
Rxn1262,COAts
Rxn1264,COORr
Rxn1266,COt
Rxn1268,COth
Rxn1270,CPP1O
Rxn1272,CPP3O
Rxn1277,CRETINOLOR1
Rxn1279,CRETINOLOR2
Rxn1286,CTPth
Rxn1288,CYARTMT
Rxn1292,CYEUOLS
Rxn1334,CYSth
Rxn1336,CYStm
Rxn1342,CY_focytb5_c
Rxn1344,CY_focytc_h
Rxn1347,DAD5th
Rxn1349,DAD5tm
Rxn1488,DAMPH
Rxn1512,DATPtm
Rxn1518,DBRC
Rxn1530,DCTPtm
Rxn1537,DDSMSTOLD
Rxn1673,DGTPtm
Rxn1727,DHAP_pi_thr
Rxn1729,DHAPtm
Rxn1740,DHORStm
Rxn1743,DHPD
Rxn1749,DHRO
Rxn1759,DICtm
Rxn1765,DMPH
Rxn1767,DMPPth
Rxn1813,DSMSTOLD
Rxn1823,DTTPtm
Rxn1856,D_LACtm
Rxn1892,ECH_3hivcoa
Rxn1895,ECOAH1
Rxn1897,ECOAH2
Rxn1899,ECOAH2m
Rxn1901,ECOAH3
Rxn1903,ECOAH3m
Rxn1905,ECOAH4
Rxn1907,ECOAH4m
Rxn1909,ECOAH5
Rxn1911,ECOAH5m
Rxn1913,ECOAH6
Rxn1915,ECOAH6m
Rxn1917,ECOAH7
Rxn1919,ECOAH7m
Rxn1937,ETOHth
Rxn1940,ETOHtm
Rxn1942,ETOHtx
Rxn1952,FA160h
Rxn1954,FA1619Zh
Rxn1961,FA180h
Rxn1963,FA18111Zh
Rxn1967,FA1819Zh
Rxn1972,FA40COAtm
Rxn1985,FADH2th
Rxn1987,FADH2tm
Rxn1989,FADH2tx
Rxn1991,FADth
Rxn1993,FADtm
Rxn1995,FADtx
Rxn2008,FDPtf
Rxn2017,FPGFT
Rxn2033,FRDPth
Rxn2035,FRDPtm
Rxn2050,G1P_pi_th
Rxn2077,G3P_pi_thr
Rxn2081,G6PA_pi_th
Rxn2084,G6PB_pi_th
Rxn2086,G6PDA
Rxn2117,GALth
Rxn2135,GCAROtu
Rxn2158,GGDPtu
Rxn2179,GLNt
Rxn2181,GLNth
Rxn2194,GLUNA1tm
Rxn2206,GLUtm
Rxn2208,GLXtx
Rxn2210,GLYALDOR
Rxn2212,GLYATx
Rxn2217,GLYCLTt
Rxn2219,GLYCLTth
Rxn2221,GLYCLTtm
Rxn2223,GLYCLTtx
Rxn2225,GLYCOR_nadp
Rxn2227,GLYCth
Rxn2232,GLYNA1th
Rxn2234,GLYNA1tm
Rxn2245,GLYth
Rxn2247,GLYtm
Rxn2249,GLYtx
Rxn2254,GMPtm
Rxn2256,GMPtn
Rxn2274,GRDPth
Rxn2276,GSC
Rxn2289,GTHOXtu
Rxn2291,GTHPDSOR
Rxn2295,GTHRDth
Rxn2297,GTHRDtm
Rxn2299,GTHRDtu
Rxn2323,GTPth
Rxn2347,GUAt
Rxn2349,H2O2th
Rxn2351,H2O2tm
Rxn2353,H2O2tn
Rxn2355,H2O2tx
Rxn2357,H2Ot
Rxn2359,H2Otf
Rxn2362,H2Othu
Rxn2364,H2Otm
Rxn2366,H2Otn
Rxn2368,H2Ots
Rxn2370,H2Otx
Rxn2372,H2th
Rxn2375,H2tm
Rxn2435,HBCHLR
Rxn2446,HBCO_nadp
Rxn2448,HBCO_nadp_m
Rxn2452,HBNOm
Rxn2454,HBNOx
Rxn2478,HCYSth
